category,county,town,ad_id,date_of_lead,leads,package_type
commercial,Dublin,Leopardstown,5113408,2017-12-25,19,Standard
commercial,Dublin,Dublin 7,5540747,2017-12-26,1,Standard
commercial,Dublin,Rathmines,5510836,2017-12-26,1,Standard
commercial,Dublin,Dublin 1,5526657,2017-12-27,2,Standard
commercial,Dublin,Dublin 2,545193,2017-12-27,1,Standard
commercial,Dublin,Dublin 2,5319742,2017-12-27,1,Standard
commercial,Dublin,Dublin 2,5456617,2017-12-27,1,Standard
commercial,Dublin,Leopardstown,5452739,2017-12-28,1,Standard
commercial,Kildare,Naas,5477528,2017-12-28,1,Standard
commercial,Dublin,Dublin 2,5485919,2017-12-29,1,Standard
commercial,Dublin,Dublin 2,5482405,2017-12-29,1,Standard
commercial,Dublin,Dublin 1,5526657,2017-12-31,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-01-01,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-01,2,Standard
commercial,Dublin,Ballsbridge,5465284,2018-01-02,1,Standard
commercial,Dublin,Blackrock,5309766,2018-01-02,1,Standard
commercial,Dublin,Dublin 1,5509876,2018-01-02,1,Standard
commercial,Dublin,Dublin 2,5491100,2018-01-02,1,Standard
commercial,Dublin,Dublin 2,5482405,2018-01-02,1,Standard
commercial,Dublin,Dublin 2,5506467,2018-01-02,1,Standard
commercial,Dublin,Dublin 2,5346753,2018-01-02,1,Standard
commercial,Dublin,Park West,5484191,2018-01-02,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-02,1,Standard
commercial,Dublin,Park West,5469122,2018-01-03,1,Standard
commercial,Dublin,Clongriffin,528055,2018-01-04,1,Standard
commercial,Dublin,Santry,5533956,2018-01-04,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-01-05,1,Standard
commercial,Dublin,Dublin 1,5509876,2018-01-05,1,Standard
commercial,Dublin,Dublin 7,5540747,2018-01-05,1,Standard
commercial,Dublin,Leopardstown,5474465,2018-01-05,1,Standard
commercial,Dublin,Park West,5484191,2018-01-05,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-05,1,Standard
commercial,Dublin,Blackrock,5518972,2018-01-07,1,Standard
commercial,Dublin,Dublin 1,5488746,2018-01-08,1,Standard
commercial,Dublin,Dublin 2,5346753,2018-01-08,1,Standard
commercial,Dublin,Dublin 2,5491162,2018-01-08,1,Standard
commercial,Dublin,Dublin 2,5525939,2018-01-08,1,Standard
commercial,Dublin,Dublin 2,5396087,2018-01-08,1,Standard
commercial,Dublin,Dublin 7,5540747,2018-01-08,3,Standard
commercial,Dublin,IFSC,5401170,2018-01-08,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-08,1,Standard
commercial,Dublin,Santry,5533956,2018-01-08,1,Standard
commercial,Dublin,Dublin 1,5526657,2018-01-09,1,Standard
commercial,Dublin,Dublin 2,5536505,2018-01-09,1,Standard
commercial,Dublin,Dublin 2,5482405,2018-01-09,1,Standard
commercial,Dublin,Dublin 7,5540747,2018-01-09,2,Standard
commercial,Dublin,Foxrock,5470258,2018-01-09,1,Standard
commercial,Dublin,Clonshaugh,5569882,2018-01-10,1,Standard
commercial,Dublin,Kilbarrack,5523006,2018-01-10,1,Standard
commercial,Dublin,Santry,5394522,2018-01-10,1,Standard
commercial,Dublin,Santry,5533956,2018-01-10,1,Standard
commercial,Dublin,Dublin 2,5542839,2018-01-11,1,Standard
commercial,Dublin,Dublin 2,5526812,2018-01-11,2,Standard
commercial,Dublin,Park West,5469122,2018-01-11,1,Standard
commercial,Dublin,Dublin 2,5527660,2018-01-12,1,Standard
commercial,Dublin,Dublin 2,5542839,2018-01-13,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-13,1,Standard
commercial,Dublin,Artane,5574316,2018-01-15,2,Standard
commercial,Dublin,Ballycoolin,5574336,2018-01-15,1,Standard
commercial,Dublin,Dublin 1,5574380,2018-01-15,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-01-15,1,Standard
commercial,Dublin,Dublin 2,5542839,2018-01-15,1,Standard
commercial,Dublin,Dublin 7,5540747,2018-01-15,1,Standard
commercial,Dublin,Foxrock,5574691,2018-01-15,2,Standard
commercial,Dublin,Killiney,5574385,2018-01-15,1,Standard
commercial,Dublin,Finglas,5575147,2018-01-16,1,Standard
commercial,Dublin,Kilbarrack,5523006,2018-01-16,1,Standard
commercial,Dublin,Leopardstown,5309768,2018-01-16,1,Standard
commercial,Dublin,Park West,5484191,2018-01-16,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-01-17,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-01-17,1,Standard
commercial,Dublin,Park West,5469122,2018-01-17,1,Standard
commercial,Dublin,Santry,5533956,2018-01-17,1,Standard
commercial,Dublin,Dublin 2,5484923,2018-01-18,1,Standard
commercial,Dublin,Dublin 2,5574353,2018-01-18,1,Standard
commercial,Dublin,Dublin 2,5346753,2018-01-18,1,Standard
commercial,Dublin,Kilmainham,5480864,2018-01-18,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-01-18,1,Standard
commercial,Dublin,Park West,5469122,2018-01-19,1,Standard
commercial,Dublin,Artane,5574316,2018-01-21,1,Standard
commercial,Dublin,Ballycoolin,5421515,2018-01-21,1,Standard
commercial,Dublin,Park West,5484191,2018-01-21,1,Standard
commercial,Dublin,Artane,5574316,2018-01-22,4,Standard
commercial,Dublin,Donnybrook,5418953,2018-01-22,1,Standard
commercial,Dublin,Dublin 1,5574322,2018-01-22,1,Standard
commercial,Dublin,Park West,5110484,2018-01-22,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-22,2,Standard
commercial,Dublin,Santry,5533956,2018-01-22,1,Standard
commercial,Dublin,Ballsbridge,5574334,2018-01-23,1,Standard
commercial,Dublin,Dublin 2,5574344,2018-01-23,1,Standard
commercial,Dublin,Dublin 2,5346753,2018-01-23,1,Standard
commercial,Dublin,Santry,5533956,2018-01-23,2,Standard
commercial,Dublin,Coolock,5541046,2018-01-24,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-24,1,Standard
commercial,Dublin,Santry,5394522,2018-01-24,1,Standard
commercial,Dublin,Santry,5580320,2018-01-24,1,Standard
commercial,Dublin,Santry,5533956,2018-01-24,1,Standard
commercial,Dublin,Artane,5574316,2018-01-25,4,Standard
commercial,Dublin,Ballycoolin,5421515,2018-01-25,1,Standard
commercial,Dublin,Dublin 2,5574323,2018-01-25,1,Standard
commercial,Dublin,Harold's Cross,5574351,2018-01-25,1,Standard
commercial,Dublin,Leopardstown,5574329,2018-01-25,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-25,1,Standard
commercial,Dublin,Artane,5574316,2018-01-26,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-01-26,1,Standard
commercial,Dublin,Rathmines,5510836,2018-01-27,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-01-28,1,Standard
commercial,Dublin,Dublin 2,545193,2018-01-28,1,Standard
commercial,Dublin,Killiney,5401173,2018-01-28,1,Standard
commercial,Kildare,Kilcock,5461071,2018-01-28,1,Standard
commercial,Dublin,Dublin 1,5574322,2018-01-29,1,Standard
commercial,Dublin,Dublin 2,545193,2018-01-29,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-01-29,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-01-29,1,Standard
commercial,Dublin,Park West,5484191,2018-01-29,1,Standard
commercial,Dublin,Santry,5580320,2018-01-29,1,Standard
commercial,Dublin,Dublin 1,5509876,2018-01-30,1,Standard
commercial,Dublin,Dublin 1,5526657,2018-01-30,2,Standard
commercial,Dublin,Kilbarrack,5523006,2018-01-30,1,Standard
commercial,Dublin,Rathcoole,5447252,2018-01-30,2,Standard
commercial,Dublin,Santry,5580320,2018-01-30,2,Standard
commercial,Kildare,Kilcock,5461071,2018-01-30,1,Standard
commercial,Dublin,Leopardstown,5574328,2018-01-31,1,Standard
commercial,Dublin,Dublin 2,5574321,2018-02-01,1,Standard
commercial,Dublin,Santry,5533956,2018-02-01,1,Standard
commercial,Dublin,Santry,5580320,2018-02-01,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-02,1,Standard
commercial,Dublin,Coolock,5541046,2018-02-03,1,Standard
commercial,Dublin,Dublin 2,5574344,2018-02-03,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-02-03,1,Standard
commercial,Dublin,Dublin 2,5574323,2018-02-03,1,Standard
commercial,Dublin,Dublin 2,5574319,2018-02-03,1,Standard
commercial,Dublin,Dublin 2,5584553,2018-02-03,2,Standard
commercial,Kildare,Naas,5477528,2018-02-03,1,Standard
commercial,Dublin,Harold's Cross,5574351,2018-02-04,1,Standard
commercial,Dublin,Santry,5533956,2018-02-04,1,Standard
commercial,Dublin,Artane,5574316,2018-02-05,1,Standard
commercial,Dublin,Leopardstown,5574329,2018-02-05,1,Standard
commercial,Dublin,Leopardstown,5574384,2018-02-05,1,Standard
commercial,Dublin,Park West,5484191,2018-02-05,1,Standard
commercial,Dublin,Santry,5580320,2018-02-05,1,Standard
commercial,Dublin,Blackrock,5309766,2018-02-06,1,Standard
commercial,Dublin,Blanchardstown,5587785,2018-02-06,1,Standard
commercial,Dublin,Donnybrook,5418953,2018-02-06,1,Standard
commercial,Dublin,Dublin 2,5584553,2018-02-06,1,Standard
commercial,Dublin,Park West,5469122,2018-02-06,1,Standard
commercial,Dublin,Santry,5580320,2018-02-06,1,Standard
commercial,Dublin,Blanchardstown,5587785,2018-02-07,1,Standard
commercial,Dublin,Donnybrook,5418953,2018-02-07,1,Standard
commercial,Dublin,Dublin 1,5526657,2018-02-07,1,Standard
commercial,Dublin,Dublin 2,5574323,2018-02-07,1,Standard
commercial,Dublin,Park West,5484191,2018-02-07,1,Standard
commercial,Dublin,Santry,5394522,2018-02-07,1,Standard
commercial,Dublin,St Margaret's,5588788,2018-02-07,1,Standard
commercial,Dublin,Blackrock,5309766,2018-02-08,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-02-08,1,Standard
commercial,Dublin,Dublin 2,5574323,2018-02-08,1,Standard
commercial,Dublin,Dublin 2,5574321,2018-02-08,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-08,4,Standard
commercial,Dublin,Citywest,5588983,2018-02-09,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-02-09,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-09,2,Standard
commercial,Dublin,Blanchardstown,5587785,2018-02-10,1,Standard
commercial,Dublin,Clongriffin,528055,2018-02-10,1,Standard
commercial,Dublin,Park West,5484191,2018-02-10,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-10,1,Standard
commercial,Dublin,Santry,5533956,2018-02-11,2,Standard
commercial,Kildare,Kilcock,5529511,2018-02-11,1,Standard
commercial,Dublin,Blackrock,5309766,2018-02-12,1,Standard
commercial,Dublin,Blanchardstown,5587785,2018-02-12,1,Standard
commercial,Dublin,Park West,5577166,2018-02-12,1,Standard
commercial,Dublin,Artane,5574316,2018-02-13,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-02-13,1,Standard
commercial,Dublin,Dublin 2,5584553,2018-02-13,1,Standard
commercial,Dublin,Park West,5574369,2018-02-13,1,Standard
commercial,Dublin,Park West,5574370,2018-02-13,2,Standard
commercial,Dublin,Rathmines,5510836,2018-02-13,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-02-14,1,Standard
commercial,Dublin,Grand Canal Dock,5574339,2018-02-14,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-14,1,Standard
commercial,Dublin,Dublin 2,5574324,2018-02-15,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-02-15,1,Standard
commercial,Dublin,Citywest,5588983,2018-02-16,2,Standard
commercial,Dublin,Dublin 2,5593223,2018-02-16,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-16,2,Standard
commercial,Dublin,Santry,5533956,2018-02-16,1,Standard
commercial,Louth,Tullyallen,5593019,2018-02-16,1,Standard
commercial,Dublin,Citywest,5588983,2018-02-17,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-02-17,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-17,1,Standard
commercial,Dublin,Artane,5574316,2018-02-18,1,Standard
commercial,Dublin,Santry,5580320,2018-02-18,1,Standard
commercial,Louth,Tullyallen,5593019,2018-02-18,1,Standard
commercial,Dublin,Clongriffin,528055,2018-02-19,10,Standard
commercial,Dublin,Dublin 2,5584553,2018-02-19,1,Standard
commercial,Dublin,Killiney,5595997,2018-02-19,1,Standard
commercial,Dublin,Park West,5577166,2018-02-19,1,Standard
commercial,Dublin,Sandyford,5595996,2018-02-19,1,Standard
commercial,Dublin,Ballycoolin,5421515,2018-02-20,1,Standard
commercial,Dublin,Ballsbridge,5597374,2018-02-21,1,Standard
commercial,Dublin,Citywest,5588983,2018-02-21,1,Standard
commercial,Dublin,Park West,5484191,2018-02-21,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-21,1,Standard
commercial,Dublin,Ballsbridge,5597374,2018-02-22,1,Standard
commercial,Dublin,Citywest,5588983,2018-02-22,1,Standard
commercial,Dublin,Dublin 1,5480663,2018-02-22,1,Standard
commercial,Dublin,Finglas,5319265,2018-02-22,1,Standard
commercial,Dublin,Park West,5577115,2018-02-22,1,Standard
commercial,Dublin,Park West,5484191,2018-02-22,1,Standard
commercial,Dublin,Sandyford,5595996,2018-02-22,1,Standard
commercial,Westmeath,Athlone,5597696,2018-02-22,1,Standard
commercial,Dublin,Park West,5484191,2018-02-23,1,Standard
commercial,Dublin,Santry,5533956,2018-02-23,1,Standard
commercial,Kildare,Naas,5477528,2018-02-23,1,Standard
commercial,Dublin,Dublin 1,5597375,2018-02-24,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-24,1,Standard
commercial,Westmeath,Athlone,5597696,2018-02-25,1,Standard
commercial,Dublin,Dublin 2,5584553,2018-02-26,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-02-26,1,Standard
commercial,Dublin,Leopardstown,5574328,2018-02-26,1,Standard
commercial,Dublin,Sandyford,5595996,2018-02-26,1,Standard
commercial,Dublin,Santry,5533956,2018-02-26,1,Standard
commercial,Dublin,Artane,5574316,2018-02-27,1,Standard
commercial,Dublin,Citywest,5588983,2018-02-27,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-02-27,1,Standard
commercial,Kildare,Kilcock,5529511,2018-02-27,1,Standard
commercial,Louth,Tullyallen,5593019,2018-02-27,1,Standard
commercial,Westmeath,Athlone,5597696,2018-02-27,1,Standard
commercial,Dublin,Killiney,5595997,2018-02-28,1,Standard
commercial,Dublin,Park West,5484191,2018-02-28,1,Standard
commercial,Dublin,Phibsborough,5601537,2018-02-28,1,Standard
commercial,Dublin,Rathmines,5510836,2018-02-28,1,Standard
commercial,Dublin,Phibsborough,5601537,2018-03-01,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-01,2,Standard
commercial,Dublin,Artane,5574316,2018-03-02,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-03-02,2,Standard
commercial,Dublin,Citywest,5588983,2018-03-02,1,Standard
commercial,Dublin,Killiney,5595997,2018-03-02,1,Standard
commercial,Dublin,St Margaret's,5588788,2018-03-02,1,Standard
commercial,Dublin,Swords,5541045,2018-03-02,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-03-03,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-03-03,1,Standard
commercial,Dublin,Ballycoolin,5421515,2018-03-04,1,Standard
commercial,Kildare,Kilcock,5461071,2018-03-04,1,Standard
commercial,Dublin,Artane,5574316,2018-03-05,4,Standard
commercial,Dublin,Ballsbridge,5597374,2018-03-05,1,Standard
commercial,Dublin,Coolock,5541046,2018-03-05,1,Standard
commercial,Dublin,Dublin 1,5480663,2018-03-05,1,Standard
commercial,Dublin,IFSC,5401170,2018-03-05,1,Standard
commercial,Dublin,Park West,5484191,2018-03-05,2,Standard
commercial,Dublin,Sandyford,5595996,2018-03-05,1,Standard
commercial,Dublin,Artane,5574316,2018-03-06,1,Standard
commercial,Dublin,Dublin 1,5574322,2018-03-06,1,Standard
commercial,Dublin,Kilmainham,5309648,2018-03-06,1,Standard
commercial,Westmeath,Athlone,5597696,2018-03-06,1,Standard
commercial,Dublin,Citywest,5588983,2018-03-07,1,Standard
commercial,Dublin,Coolock,5541046,2018-03-07,1,Standard
commercial,Dublin,Dublin 2,5574324,2018-03-07,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-03-07,2,Standard
commercial,Tipperary,Cahir,5601448,2018-03-07,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-03-08,1,Standard
commercial,Dublin,Park West,5469122,2018-03-08,1,Standard
commercial,Dublin,Swords,5541045,2018-03-08,1,Standard
commercial,Dublin,Citywest,5588983,2018-03-09,1,Standard
commercial,Dublin,Kilmainham,5592492,2018-03-09,1,Standard
commercial,Dublin,Leopardstown,5574330,2018-03-09,1,Standard
commercial,Dublin,Sandyford,5595996,2018-03-09,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-03-10,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-10,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-03-11,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-03-11,1,Standard
commercial,Dublin,Kilmainham,5309648,2018-03-11,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-11,1,Standard
commercial,Dublin,Santry,5533956,2018-03-11,1,Standard
commercial,Tipperary,Cahir,5601448,2018-03-11,1,Standard
commercial,Westmeath,Athlone,5597696,2018-03-11,1,Standard
commercial,Dublin,Ballsbridge,5597374,2018-03-12,1,Standard
commercial,Dublin,Donnybrook,5418953,2018-03-12,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-03-12,1,Standard
commercial,Dublin,Dublin 2,5584163,2018-03-12,1,Standard
commercial,Dublin,Phibsborough,5601537,2018-03-12,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-03-13,2,Standard
commercial,Dublin,Kilbarrack,5523006,2018-03-13,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-13,1,Standard
commercial,Kildare,Kilcock,5461071,2018-03-13,1,Standard
commercial,Dublin,Balbriggan,5429452,2018-03-14,1,Standard
commercial,Dublin,Dublin 2,5584553,2018-03-14,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-14,1,Standard
commercial,Tipperary,Cahir,5601448,2018-03-14,1,Standard
commercial,Westmeath,Athlone,5597696,2018-03-14,1,Standard
commercial,Dublin,Ballycoolin,5421515,2018-03-15,1,Standard
commercial,Dublin,Blanchardstown,5587785,2018-03-15,1,Standard
commercial,Dublin,Park West,5484191,2018-03-15,1,Standard
commercial,Meath,Slane,5609326,2018-03-15,1,Standard
commercial,Dublin,Dublin 2,5527660,2018-03-17,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-03-17,1,Standard
commercial,Dublin,Citywest,5588983,2018-03-18,1,Standard
commercial,Kildare,Naas,5477528,2018-03-18,1,Standard
commercial,Dublin,Clonskeagh,5574354,2018-03-19,1,Standard
commercial,Dublin,Leopardstown,5574328,2018-03-19,1,Standard
commercial,Dublin,Dublin 2,5574323,2018-03-20,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-03-20,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-20,1,Standard
commercial,Louth,Tullyallen,5593019,2018-03-20,1,Standard
commercial,Tipperary,Cahir,5601448,2018-03-20,1,Standard
commercial,Dublin,Artane,5574316,2018-03-21,5,Standard
commercial,Dublin,Park West,5484191,2018-03-21,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-21,1,Standard
commercial,Dublin,Santry,5533956,2018-03-21,2,Standard
commercial,Kildare,Kilcock,5461071,2018-03-21,1,Standard
commercial,Dublin,Citywest,5588983,2018-03-22,1,Standard
commercial,Dublin,Coolock,5541046,2018-03-22,2,Standard
commercial,Dublin,Harold's Cross,5574351,2018-03-22,1,Standard
commercial,Dublin,Park West,5484191,2018-03-22,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-22,1,Standard
commercial,Kildare,Kilcock,5529511,2018-03-22,1,Standard
commercial,Tipperary,Cahir,5601448,2018-03-22,1,Standard
commercial,Dublin,Coolock,5541046,2018-03-23,1,Standard
commercial,Dublin,Dublin 2,5542839,2018-03-23,1,Standard
commercial,Dublin,Kilmainham,5309648,2018-03-23,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-24,1,Standard
commercial,Dublin,Santry,5533956,2018-03-24,1,Standard
commercial,Dublin,Swords,5541045,2018-03-24,1,Standard
commercial,Dublin,Citywest,5588983,2018-03-25,1,Standard
commercial,Dublin,Coolock,5541046,2018-03-25,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-03-25,1,Standard
commercial,Dublin,Artane,5574316,2018-03-26,1,Standard
commercial,Dublin,Clongriffin,528055,2018-03-26,1,Standard
commercial,Dublin,Park West,5484191,2018-03-26,2,Standard
commercial,Kildare,Leixlip,5613352,2018-03-27,1,Standard
commercial,Dublin,Artane,5574316,2018-03-28,4,Standard
commercial,Dublin,Leopardstown,5452739,2018-03-28,1,Standard
commercial,Dublin,Rathmines,5510836,2018-03-28,1,Standard
commercial,Dublin,Santry,5533956,2018-03-28,1,Standard
commercial,Meath,Slane,5609326,2018-03-28,1,Standard
commercial,Dublin,Clongriffin,528055,2018-03-29,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-03-29,1,Standard
commercial,Dublin,Foxrock,5617070,2018-03-29,1,Standard
commercial,Dublin,IFSC,5401170,2018-03-29,1,Standard
commercial,Dublin,Santry,5533956,2018-03-29,1,Standard
commercial,Kildare,Leixlip,5613352,2018-03-29,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-04-01,1,Standard
commercial,Dublin,Park West,5469122,2018-04-01,1,Standard
commercial,Dublin,Rathmines,5510836,2018-04-01,2,Standard
commercial,Dublin,Phibsborough,5601537,2018-04-02,1,Standard
commercial,Westmeath,Athlone,5597696,2018-04-02,1,Standard
commercial,Dublin,Dublin 1,5617069,2018-04-03,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-04-03,1,Standard
commercial,Dublin,Santry,5533956,2018-04-03,1,Standard
commercial,Dublin,Dublin 1,5617069,2018-04-04,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-04-04,1,Standard
commercial,Dublin,Phibsborough,5601537,2018-04-04,3,Standard
commercial,Dublin,Rathmines,5510836,2018-04-04,2,Standard
commercial,Kildare,Naas,5477528,2018-04-04,1,Standard
commercial,Dublin,Santry,5533956,2018-04-05,1,Standard
commercial,Tipperary,Cahir,5601448,2018-04-05,2,Standard
commercial,Dublin,Citywest,5588983,2018-04-06,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-04-06,1,Standard
commercial,Dublin,Dublin 1,5574355,2018-04-07,1,Standard
commercial,Dublin,Foxrock,5617070,2018-04-07,1,Standard
commercial,Dublin,Phibsborough,5601537,2018-04-07,1,Standard
commercial,Dublin,Blanchardstown,5587785,2018-04-09,1,Standard
commercial,Dublin,Dublin 1,5617069,2018-04-09,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-04-09,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-04-09,1,Standard
commercial,Dublin,Santry,5533956,2018-04-09,1,Standard
commercial,Dublin,Smithfield,5600207,2018-04-09,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-04-10,1,Standard
commercial,Dublin,Foxrock,5617070,2018-04-10,1,Standard
commercial,Dublin,IFSC,5401170,2018-04-10,1,Standard
commercial,Dublin,Santry,5394522,2018-04-10,1,Standard
commercial,Dublin,Santry,5533956,2018-04-10,2,Standard
commercial,Dublin,Artane,5574316,2018-04-11,1,Standard
commercial,Dublin,Ballsbridge,5574334,2018-04-11,1,Featured
commercial,Dublin,Blanchardstown,5587785,2018-04-11,1,Standard
commercial,Dublin,Park West,5484191,2018-04-11,3,Standard
commercial,Dublin,Santry,5533956,2018-04-11,1,Standard
commercial,Dublin,Dublin 2,5593223,2018-04-12,1,Standard
commercial,Dublin,Dublin 2,5574382,2018-04-12,1,Standard
commercial,Dublin,Dublin 2,5574325,2018-04-12,1,Standard
commercial,Dublin,Killiney,5595997,2018-04-12,1,Standard
commercial,Dublin,Park West,5484191,2018-04-12,1,Standard
commercial,Kildare,Naas,5477528,2018-04-12,1,Standard
commercial,Dublin,Leopardstown,5113408,2018-04-13,1,Standard
commercial,Dublin,Santry,5533956,2018-04-13,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-04-14,1,Standard
commercial,Dublin,Rathmines,5510836,2018-04-14,2,Standard
commercial,Dublin,Dublin 2,5574321,2018-04-15,1,Standard
commercial,Dublin,Leopardstown,5452739,2018-04-15,1,Standard
commercial,Dublin,Sandyford,5595996,2018-04-15,1,Standard
commercial,Dublin,Artane,5574316,2018-04-16,1,Standard
commercial,Dublin,Dublin 1,5574322,2018-04-16,1,Standard
commercial,Dublin,Swords,5541045,2018-04-16,1,Standard
commercial,Kildare,Leixlip,5613352,2018-04-16,2,Standard
commercial,Meath,Ashbourne,5626053,2018-04-16,1,Standard
commercial,Dublin,Dublin 2,5456620,2018-04-17,1,Standard
commercial,Dublin,Dublin 2,5597373,2018-04-17,1,Standard
commercial,Dublin,Rathmines,5510836,2018-04-17,2,Standard
commercial,Kildare,Kilcock,5529511,2018-04-18,1,Standard
